title,description,start_year,latitude,longitude,url,icon_type,period
Trou des Nutons,"Déjà à l'époque préhistorique, on retrouve un habitat dans la grotte de Revogne (""le Trou des Nutons""). La grotte abrite aujourd'hui une colonie de Petits Rhinolophes, espèce protégée et pour laquelle un abri chauffé (une ""batbox"") a été installé en 2012 par les équipes de Natagora. ",-3500,50.09436111,5.044583333,http://fr.wikipedia.org/wiki/Trou_des_Nutons,tree,Préhistoire
Chapelle Saint-Etienne,"Construite en 1777, la Chapelle Saint-Etienne a été réaménagée intérieurement en 1970-1971 et classé en 1981(?). Le mobilier proviendrait en partie de l'ancienne chapelle située sur le plateau supérieur, à côté du vieux château féodal. La chapelle abrite une cloche de 1502 récupérée par les villageois dans les décombres de l'ancienne chapelle et remontée dans l'actuelle chapelle Saint-Etienne, ainsi qu'un bénitier datant de 1623.",1777,50.09444444,5.045194444,http://fr.wikipedia.org/wiki/Liste_du_patrimoine_immobilier_class%C3%A9_de_Beauraing,monument,Temps modernes
Statues en bois polychromes,"Lot de statues en bois polychromes de la fin du 16e siècle: pâpe Saint-Urbain, Sainte-Barbe,... Hauteur moyenne: 55 cm.",1591-1600,50.09441667,5.045138889,,artifact,Temps modernes
Crash d'un avion Mirage 5 le 20 août 1984,"Le 20 août 1984, un Mirage 5BR BR-18 s'écrase sur les hauteur du village, en raison sans doute d'une désorientation spatiale. Le pilote, le Capitaine Thierry Demortier, est tué sur le coup. Une croix est érigée en son souvenir, en contrebas du lieu du crash, Rue de la Spinette. Le mémorial est régulièrement entretenu et visité par des parents proches et amis du pilote.",1984,50.09319444,5.045833333,,plane crash,Epoque contemporaine
Voie romaine,"La romanisation de la région ne fait aucun doute, et Revogne comme toute la Famenne a connu une présence romaine. Son emplacement stratégique le long de la voie romaine Saint-Quentin-Givet, traversant Revogne pour se diriger ensuite vers Arlon et Trèves (Trèves qui fut au IVe siècle la résidence de l'empereur), justifia la présence des Romains. Jusqu'au XIIIe siècle, les voies romaines étaient pratiquement les seules voies de communication vers les grands centres urbains.",200,50.09652778,5.040277778,,monument,Antiquité
Porte de Lomprez,"Avec les Évêques de Liège, le château fortifié de Revogne, du début du 10ème siècle, devint une prévôté et le point de défense de la principauté liégeoise. Elle est le centre d'une ville forte entourée de remparts (plus ou moins 100 mètres de remparts subsistent encore), datant de 1241 et comportant trois portes : la porte de Lomprez, du Levant et du couchant, dont il reste peu de trace, hormis la porte de Lomprez encore visible actuellement, mais qui à l'époque était beaucoup plus haute et s'accompagnait d'une tour de défense.

",1241,50.09358333,5.046666667,http://www.location-revogne.com/revogne-et-sa-region,monument,Moyen-Âge
Jean-François de Pierpont (1683-1767),"Fils d'Antoine (1650-1689), l’un des Onze Hommes de Huy, représentant les onze métiers de la ville en charge des activités de bienfaisance et de Marie Bastin, qui acquiert le château de Revogne vers 1701-1702, Jean-François de Pierpont (1683-1767), seigneur de Luchy et châtelain de Revogne, s’allie à la famille liégeoise des la Tour, famille des trésoriers généraux des Etats du pays de Liège et comté de Looz. Deux de ses enfants seront capitaines au service de Louis XV. Un troisième, Dieudonné- Gérard (1721-1797), reçoit par héritage de sa belle famille, le domaine de Wanlin. Parmi ses enfants, citons Albert-Dieudonné (1760-1841), propriétaire de nombreux domaines dans la province de Namur et dans la région hutoise. Il est le père de onze enfants, trois filles et huit fils dont sept sont les auteurs des sept branches Pierpont.",1683-1767,,,http://oghb.be/recueils/la-famille-de-pierpont,person,Temps modernes
Albert-Dieudonné de Pierpont (1760-1841),"Albert Dieudonné Ambroise de Pierpont
Seigneur de Luchy
Né le 17 octobre 1760 - Liège (Belgique)
Décédé le 16 juillet 1841 - Château de Revogne, Honnay-Revogne, Beauraing (Belgique), à l'âge de 80 ans.
Enterrée au Cimetière paroissial, Revogne, Beauraing (Belgique)",1760-1841,,,http://oghb.be/recueils/la-famille-de-pierpont,person,Temps modernes
Marie-Josèphe de Noust (1761-1842),"Marie Josèphe Alexise ""Constance"" Ghislaine de Noust
Née en 1761 - Fontaine, Ciney (Belgique)
Décédée le 19 janvier 1842 - Honnay-Revogne, Beauraing (Belgique), à l'âge de 81 ans.
Enterrée au Cimetière paroissial, Revogne, Beauraing (Belgique)",,,,http://oghb.be/recueils/la-famille-de-pierpont,person,Temps modernes
Moulin à eau,"Moulin à farine. Roue à aubes en bois avec rayons métalliques. Trois paires de meules complètes, dont une avec entraînement par courroie.",,50.09416667,5.042222222,http://www.molenechos.org/molen.php?AdvSearch=1593,monument,Temps modernes
Anciennes habitations et muraille dévastées par les Bourguignons,Mises au jour lors du chantier de fouilles préventives menées par le Service Archéologie de la Région Wallonne en 2013. ,,50.09436111,5.046333333,,monument,
Drève des Tilleuls,"Drève de tilleuls majestueuse, voie d'accès vers l'ancien château fort",,50.09616667,5.043611111,http://tourisme-marche-nassogne.be/fr/decouvertes-a-loisirs/patrimoine-et-nature/item/17828-dreve-des-tilleuls,tree,Moyen-Âge
Vestiges de l'ancien château fort,,1241,50.09469444,5.044444444,,monument,Moyen-Âge
Vestiges de l'ancienne chapelle,"La cloche de 1502 récupérée par les villageois dans les décombres de l'ancienne chapelle romane qui survit un temps à la destruction du village a été remontée dans l'actuelle chapelle Saint-Etienne, batie en 1777. Chose rare car bien souvent, les cloches étaient fondues pour en faire des canons. De même que le bénitier, datant de 1623.",1500,50.09469444,5.043888889,,artifact,Temps modernes
Château de Revogne,"Le château qui se dresse aujourd'hui à Revogne fut construit au XVIIe siècle, vers 1650. Au coeur de la Famenne, sur un promontoire rocheux, il domine la vallée de la Wimbe, un affluent de le Lesse. ",1650,50.094855,5.045499,,monument,Temps modernes
Porte du Levant,"Porte d'accès à l'ancienne ville fortifiée, mise au jour lors du chantier de réfection de la route en 2013.",1241,50.09444444,5.046194444,,monument,Moyen-Âge
Cimetière franc,"Pour la période mérovingienne, l'habitat à Revogne est attesté par les fouilles de nombreux cimetières dans la région, dont certaines à Revogne même. Fouille d'un cimetière du VIIe siècle entrepris à Revogne au lieu-dit ""Bouchet"". Revogne aurait reçu son nom d'un germain, à l'époque des invasions. La première citation de Revogne date de 817 sous le nom de RUVOGNA.",650,50.09722222,5.052777778,,monument,Moyen-Âge
Les Seigneurs de Revogne (943-1154),"En 943, Engon de Revogne signe la charte de Stavelot. C'est un Vir Nobilis, un terme qui au Xe siècle a une valeur toute spéciale. Il désigne l'ancienne ""Nobilitas"", dont les origines remontent très souvent aux temps carolingiens. C'est donc une famille importante, tant par son rang que par ses possessions, comme la Famenne n'en comptait que trois ou quatre à l'époque. 
En 1154, il reste 4 frères de la famille de Revogne. L'un meurt, et les trois autres rentrent dans les ordres comme moine à l'abbaye de Waulsort. Dès lors, ils vendent toutes leurs terres, ainsi que Revogne au prince Évêque de Liège: Henri de Leez.",900,50.094694,5.044492,,person,Moyen-Âge
Les Princes Évêques de Liège (1154-1466),"En 1154, il reste 4 frères dans la famille des Seigneurs de Revogne. L'un meurt, et les trois autres rentrent dans les ordres comme moine à l'abbaye de Waulsort. Dès lors, ils vendent toutes leurs terres, ainsi que Revogne au prince Évêque de Liège: Henri de Leez. Avec les Évêques de Liège, le château fortifié de Revogne du début du 10ème siècle devint une prévôté et le point de défense de la principauté liégeoise. Elle est le centre d'une ville forte entourée de remparts (plus ou moins 100 mètres de remparts subsistent encore), datant de 1241 et comportant trois portes : la porte de Lomprez, du Levant et du couchant, dont il reste peu de trace, hormis la porte de Lomprez encore visible actuellement, mais qui à l'époque était beaucoup plus haute et s'accompagnait d'une tour de défense.",1154,50.094814,5.044396,,person,Moyen-Âge
Le gibet,"Le Prévôt nommé par l'évêque avait en charge la défense des intérêts du prince dans la région de la Famenne. Pour ce faire, il rendait la justice (le lieu-dit ""gibet"" nous est encore connu), percevait les impôts et entretenait la garnison de Revogne.

",1250,50.097387,5.047679,,monument,Moyen-Âge
